(-554.868, 289.88)
(-1033.96, 215.187)
(-406.805, 824.314)
(738.488, -464.488)
(884.85, 95.8665)
(518.946, 231.773)
(508.492, 438.77)
(486.538, 433.543)
(511.629, 454.452)
(74.6355, 96.9121)
(276.405, 637.403)
(548.819, -639.971)
(396.663, -856.193)
(79.8838, 751.73)
(-293.499, 964.948)
(-361.569, 892.874)
(352.031, 670.26)
(179.091, 445.658)
(26.9343, 229.437)
(273.187, -329.136)
(231.941, -919.924)
(209.986, -925.151)
(235.077, -904.242)
(-0.146466, -721.29)
(40.534, -64.656)
(-122.633, -107.7)
(-184.697, -548.152)
(-558.08, -334.933)
(-626.15, -407.007)
(-993.408, 449.505)
(-474.87, 119.147)
(-528.188, 373.188)
(425.853, -867.598)
(403.899, -872.825)
(428.99, -851.916)
(193.766, -668.965)
(226.053, -14.5954)
(62.8855, -57.6395)
(0.821878, -498.091)
(-372.561, -284.873)
(-440.631, -356.947)
(-935.402, -464.154)
(-1068.17, 20.5806)
(-799.495, 501.83)
(-280.958, 171.472)
(-334.275, 425.514)
(878.134, -685.877)
(512.231, -549.97)
(501.776, -342.974)
(479.822, -348.201)
(504.913, -327.292)
(67.9199, -684.832)
(269.689, -144.341)
(298.69, 487.32)
(135.523, 444.276)
(73.4589, 3.82402)
(-299.924, 217.043)
(-367.994, 144.969)
(-859.479, 60.4701)
(-992.249, 545.205)
(-205.034, 696.096)
(-258.352, 950.138)
(949.109, -598.788)
(927.155, -604.015)
(952.246, -583.106)
(515.253, -940.646)
(717.022, -400.155)
(726.66, 242.579)
(563.492, 199.535)
(501.429, -240.917)
(128.045, -27.6983)
(59.9757, -99.7722)
(-412.146, -195.344)
(-544.916, 289.391)
(-276.239, 770.64)
(242.298, 440.282)
(188.981, 694.323)
(1003.08, -515.78)
(591.176, -852.411)
(792.945, -311.92)
(799.297, 326.995)
(636.129, 283.951)
(574.065, -156.501)
(200.682, 56.7176)
(132.613, -15.3563)
(-336.223, -107.109)
(-468.993, 377.626)
(-200.316, 858.876)
(318.222, 528.517)
(264.904, 782.559)
(1049.31, -56.6106)
(690.842, 148.088)
(625.492, 78.8943)
(197.573, -4.9465)
(70.3375, 459.579)
(327.814, 920.766)
(824.733, 604.18)
(564.473, -898.073)
(580.064, -260.33)
(423.417, -301.654)
(363.833, -724.507)
(5.36949, -519.808)
(-59.9804, -589.002)
(-517.62, -701.801)
(-644.855, -237.275)
(-387.379, 223.911)
(109.54, -92.6743)
(58.4456, 150.776)
(635.617, -523.032)
(478.97, -564.356)
(419.386, -987.208)
(60.9227, -782.509)
(-4.42712, -851.703)
(-459.658, -975.893)
(-586.893, -511.367)
(-329.417, -50.1806)
(167.502, -366.766)
(116.408, -123.316)
(7.66355, -215.111)
(53.3797, -856.11)
(69.9153, -899.881)
(102.987, -870.701)
(186.638, -857.083)
(887.765, -566.925)
(947.48, -385.914)
(605.052, -183.442)
(-138.659, 18.4326)
(-92.9426, -622.567)
(-76.4069, -666.337)
(-43.3357, -637.157)
(40.3153, -623.539)
(747.527, -343.092)
(807.242, -162.081)
(464.813, 40.3906)
(94.4083, 552.247)
(140.124, -88.7525)
(156.66, -132.523)
(189.731, -103.343)
(273.382, -89.7252)
(970.903, 168.526)
(1030.62, 349.537)
(688.19, 552.008)
(588.777, -891.672)
(556.121, -664.941)
(-46.0355, 550.34)
(-0.319377, -90.6592)
(16.2162, -134.43)
(49.2875, -105.249)
(132.938, -91.6319)
(836.299, 166.698)
(896.014, 347.71)
(553.585, 550.181)
(198.518, -1074.51)
(454.173, -893.499)
(421.517, -666.769)
(-64.7827, 602.768)
(-19.0665, -38.2309)
(-2.5309, -82.0017)
(30.5403, -52.8212)
(114.191, -39.2036)
(818.331, 216.946)
(878.047, 397.958)
(535.618, 600.429)
(180.55, -1024.26)
(436.206, -843.251)
(403.549, -616.52)
(996.968, -510.775)
(-8.54164, 659.009)
(37.1745, 18.0102)
(53.7101, -25.7606)
(86.7814, 3.41992)
(170.432, 17.0375)
(872.234, 270.849)
(931.949, 451.86)
(589.52, 654.332)
(234.453, -970.36)
(490.108, -789.349)
(457.452, -562.618)
(-105.772, 569.405)
(-60.0559, -71.5943)
(-43.5203, -115.365)
(-10.449, -86.1846)
(73.202, -72.567)
(779.047, 184.97)
(838.762, 365.982)
(496.333, 568.453)
(141.265, -1056.24)
(396.921, -875.227)
(364.264, -648.497)
(957.683, -542.751)
(-204.909, 554.153)
(-159.193, -86.8462)
(-142.657, -130.617)
(-109.586, -101.436)
(-25.9349, -87.8188)
(684.032, 170.353)
(743.747, 351.364)
(401.318, 553.836)
(46.2507, -1070.86)
(301.906, -889.845)
(269.249, -663.114)
(715.246, -849.102)
(862.668, -557.369)
(-946.711, -424.338)
(-167.334, -140.853)
(-105.135, 47.6876)
(-461.808, 258.581)
(18.7324, -898.844)
(-242.575, -367.21)
(-180.376, -178.669)
(-537.048, 32.224)
(-710.367, -142.379)
(-662.663, -811.248)
(-645.408, -856.922)
(-610.899, -826.472)
(-523.611, -812.263)
(237.441, -511.977)
(299.64, -323.436)
(-57.032, -112.543)
(-173.314, 738.068)
(-156.06, 692.395)
(-121.551, 722.844)
(-34.2628, 737.053)
(41.286, -322.599)
(307.575, -134.059)
(592.33, -335.233)
(273.56, 102.103)
(738.109, -91.6207)
(891.663, 212.247)
(1016.67, -285.273)
(860.023, -577.247)
(633.683, -704.119)
(-572.191, 909.42)
(-537.682, 939.869)
(-450.394, 954.079)
(-356.823, -114.973)
(-90.5334, 73.5676)
(194.221, -127.607)
(-124.549, 309.729)
(340, 116.005)
(493.554, 419.873)
(600.536, -68.2474)
(646.886, -185.646)
(443.891, -360.222)
(684.441, -702.269)
(217.552, -487.094)
(347.469, -645.43)
(-337.577, 563.851)
(-320.322, 518.177)
(-285.813, 548.626)
(-198.525, 562.836)
(548.447, 803.566)
